20220217 080300;14563.25;14569;14557.75;14566.75;950
20220217 080400;14567;14567;14559.25;14564.75;631
20220217 080500;14564.5;14564.75;14557;14564;517
20220217 080600;14564;14573.25;14559.5;14562.5;1171
20220217 080700;14562.25;14566.75;14560.75;14562.5;612
20220217 080800;14562.5;14565.75;14558.25;14562;607
20220217 080900;14562.25;14568.25;14559;14564.75;606
20220217 081000;14565;14578.75;14565;14577;1101
20220217 081100;14577.25;14583;14572.5;14578.75;1173
20220217 081200;14578.25;14583.5;14572;14573.75;827
20220217 081300;14574.25;14579;14572.5;14576.5;534
20220217 081400;14575.75;14578;14567;14568.25;803
20220217 081500;14567.75;14571.5;14566;14569.5;692
20220217 081600;14569.5;14569.75;14558.25;14559.75;1104
20220217 081700;14559.5;14563.75;14545.25;14549;2155
20220217 081800;14550.25;14558.25;14548.25;14555.75;1090
20220217 081900;14556;14556.5;14548.5;14550.25;474
20220217 082000;14550.5;14555.75;14548.5;14549;372
20220217 082100;14549.25;14559;14548.5;14558;593
20220217 082200;14557.5;14560.5;14554.5;14558.25;523
20220217 082300;14558.75;14561.5;14553.75;14557.75;498
20220217 082400;14558.25;14558.25;14552.75;14556.75;566
20220217 082500;14556.75;14557.5;14549;14550.25;455
20220217 082600;14550;14557.25;14546.25;14547.5;645
20220217 082700;14547.75;14552.5;14513.5;14520;2756
20220217 082800;14519.75;14520.25;14489;14501;5100
20220217 082900;14501.25;14502.25;14478.25;14497;3133
20220217 083000;14497;14499.5;14481.75;14493.25;2015
20220217 083100;14492.5;14508.5;14491.75;14504;2092
20220217 083200;14504.25;14516.75;14499.25;14514;1928
20220217 083300;14514.25;14524.75;14509.25;14517;1574
20220217 083400;14516.5;14519;14508.25;14511;1108
20220217 083500;14510;14510.5;14499;14501.25;1296
20220217 083600;14501;14502.5;14481.25;14485;1686
20220217 083700;14485;14504.25;14480;14501.25;1471
20220217 083800;14501;14506.75;14497.5;14502.75;948
